vehicle_technology_case,vehicle_technology_trajectory,charging_assumption_case,year,passenger_car_residential_energy_share,public_l2_utilization,public_dcfc_utilization,depot_utilization_of_12h_window,passenger_car_electricity_twh,light_truck_electricity_twh,bus_electricity_twh,heavy_truck_electricity_twh,required_passenger_car_l2_ports,required_passenger_car_dcfc_ports,required_light_truck_50kw_depot_chargers,required_bus_150kw_depot_chargers,required_heavy_truck_150kw_depot_chargers,required_total_chargers,cumulative_passenger_car_l2_investment_billion_ntd,cumulative_passenger_car_dcfc_investment_billion_ntd,cumulative_light_truck_depot_investment_billion_ntd,cumulative_bus_depot_investment_billion_ntd,cumulative_heavy_truck_depot_investment_billion_ntd,cumulative_total_investment_billion_ntd
Reference,ATB Baseline,Reference,2035,0.4,0.18,0.1,0.4,3.4436052482083377,0.6247928257940738,1.3852337577762794,0.7013153253131715,140394.86497913965,11793.168658247732,7132.3381939962765,5271.0569169569235,2668.627569684823,167260.05631802542,25.872030904601203,20.15476589485618,12.870208007213396,19.15957708366549,10.029676023696775,88.08625791403306
Reference,ATB Baseline,Reference,2036,0.4,0.18,0.1,0.4,4.072010910814543,0.7459556240317468,1.5230428913812173,0.8286866703608523,166014.79577684856,13945.242845255281,8515.475160179758,5795.444792165971,3153.2978324233345,197424.25640687288,30.752338310693002,24.330906308522714,15.37306841598701,21.294610462015147,11.852149047144312,103.60307254436218
Reference,ATB Baseline,Reference,2037,0.4,0.18,0.1,0.4,4.775213815597215,0.8873272668802199,1.660826122286451,0.9666555907520498,194684.19013361115,16353.471971223338,10129.30669954589,6319.734103068688,3678.2937243228685,231164.9966317719,36.20259045597193,28.969841850409203,18.292724710129722,23.429273322268887,13.826212193729292,120.72064253250902
Reference,ATB Baseline,Reference,2038,0.4,0.18,0.1,0.4,5.5531243116591495,1.0489021914611103,1.7985834504919813,1.1152190943908287,226399.3930063254,19017.549012531334,11973.769308916784,6843.924849665073,4243.60385993466,268478.24003737327,42.22210421288222,34.071017820940355,21.629062158450036,25.563565664426704,15.951822663832315,139.43757252053163
Reference,ATB Baseline,Reference,2039,0.4,0.18,0.1,0.4,6.405652748103133,1.2306748348960355,1.9363148759978077,1.2743741891812546,261156.74935188898,21937.166945558674,14048.79948511456,7368.017031955128,4849.2168538099495,309359.9496683273,48.81019645386806,39.633879520540845,25.381966029756473,27.697487488488598,18.228937657833995,159.75246715048797
Reference,ATB Baseline,Reference,2040,0.4,0.18,0.1,0.4,7.332709474031959,1.4326396343066126,2.0740203988039303,1.4441178830273926,298952.6041271999,25112.01874668479,16354.33372496133,7892.010649938852,5495.121320499972,353806.0885692848,56.530273614754456,45.3698842696354,29.803310083736754,30.41672362697762,20.815979477770252,182.93617107287446
Reference,ATB Baseline,Reference,2041,0.4,0.18,0.1,0.4,8.177645251261112,1.6360652776458044,2.1723336473197197,1.6200498964319079,333400.4097872273,28005.634422127096,18676.544265363063,8266.109769100913,6164.573426301019,394513.2716701194,63.990520680958646,50.59777971045701,34.438578685276816,32.84125167074726,23.64717779231431,205.51530853975402
Reference,ATB Baseline,Reference,2042,0.4,0.18,0.1,0.4,8.984750807808593,1.8440735975770364,2.2508616204184246,1.802277429117787,366305.8874677345,30769.694547289702,21051.068465491284,8564.922452124903,6857.981084923085,433549.55401756347,71.44778123238186,55.591607138588294,39.35110977639802,35.2623048632007,26.720847857083033,228.37365086765195
Reference,ATB Baseline,Reference,2043,0.4,0.18,0.1,0.4,9.754041951745563,2.056664129251072,2.3096165806714377,1.9907965258452913,397669.6816595549,33404.25325940261,23477.901018847853,8788.495360241392,7575.329245986649,470915.6605440334,78.90024430818323,61.72035957912477,44.539720828009834,37.67397179585026,30.03366096865146,252.86795747981955
Reference,ATB Baseline,Reference,2044,0.4,0.18,0.1,0.4,10.485534491143179,2.2738364078186746,2.348610790650152,2.185603231374683,427492.4368535217,35909.36469569582,25957.036618934642,8936.875154680944,8316.602859112187,506612.31618194527,86.34609894752191,67.97972434618775,50.003229311021784,40.07034106020826,33.58228842359463,277.98168208853434
Reference,ATB Baseline,Reference,2045,0.4,0.18,0.1,0.4,11.179244234072605,2.4955899684306084,2.367856512925959,2.386693590466223,455774.7975404682,38285.08299339933,28488.469959253518,9010.10849667412,9081.78687392018,540640.2458637154,93.78353418955702,74.23225256264027,55.74045269634338,42.44550124778701,37.36340151848759,303.56514221481524
Reference,ATB Baseline,Reference,2046,0.4,0.18,0.1,0.4,11.83529544552935,2.721957510668413,2.366947824820187,2.5936054174457337,482521.8299710269,40531.83371756627,31072.57432269878,9006.650779376663,9869.122593020295,573002.0113836889,101.3785026956571,80.61269778951353,61.762659465277984,44.56541091716349,41.38904216151942,329.7083130291315
Reference,ATB Baseline,Reference,2047,0.4,0.18,0.1,0.4,12.434823118092009,2.952911034693951,2.366039136714416,2.806717302677371,506964.4128380629,42585.01067839729,33709.030076414965,9003.193062079208,10680.050619015872,602941.6972739702,108.97242423366157,86.99229287829317,68.06271228027964,46.67730999636717,45.65193985407623,356.3566792426777
Reference,ATB Baseline,Reference,2048,0.4,0.18,0.1,0.4,12.977849414482694,3.1884502436453075,2.3651304486086437,3.026021918824986,529103.4497098293,44444.689775625666,36397.83383156744,8999.735344781748,11514.543070110296,630460.2517319145,116.56511959027159,93.37089230778051,74.64057692035254,48.781198485398,50.151064457785004,383.50885176158766
Reference,ATB Baseline,Reference,2049,0.4,0.18,0.1,0.4,13.464396497423511,3.42857484066057,2.3642217605028724,3.2515119385524307,548939.8441545789,46110.946908984624,39138.982199321574,8996.277627484294,12372.572064506965,655558.6229548763,124.15640955218826,99.74835055677683,81.4962191645009,50.87707638425605,54.88538583427277,411.1634414919948
Reference,ATB Baseline,Reference,2050,0.4,0.18,0.1,0.4,13.894486529636564,3.6732845288778253,2.363313072397101,3.483180034523556,566474.4997405645,47583.85797820741,41932.471790842756,8992.819910186838,13254.10972040927,678237.7591402107,131.74611490611272,106.12452210408348,88.62960479172901,52.96494369294126,59.853873845166525,439.31905934003294
