Model,Trim,Class,Origin,Price,Total Cost,Total Emission,CO2_abatement_cost,baseline_gasoline_cost_ntd_per_km,baseline_gasoline_emission_kg_per_km
Hyundai Ioniq 5,EV600 Performance,SUV,import,207.9,9.05,0.163,2.1309863335366246,7.044813204638,0.25709665204347676
Hyundai Ioniq 6,EV400,Sedan,import,159.9,7.021,0.133,-0.019189240197759364,7.044813204638,0.25709665204347676
Hyundai Ioniq 6,EV600,Sedan,import,189.9,8.269,0.143,1.0729384021675945,7.044813204638,0.25709665204347676
Hyundai Ioniq 6,EV600 Performance,Sedan,import,209.9,9.153,0.168,2.3661795892546698,7.044813204638,0.25709665204347676
Kia EV6,Light,SUV,import,166.9,7.34,0.146,0.2657026921445667,7.044813204638,0.25709665204347676
Kia EV6,Air,SUV,import,197.9,8.63,0.155,1.5526334739036944,7.044813204638,0.25709665204347676
Kia EV6,GT-Line,SUV,import,208.9,9.082,0.156,2.015088288468648,7.044813204638,0.25709665204347676
Kia EV6,GT-Line e-AWD,SUV,import,219.9,9.569,0.171,2.931805982522232,7.044813204638,0.25709665204347676
Lexus RZ 450e,,SUV,import,279.0,12.001,0.172,5.824185413111002,7.044813204638,0.25709665204347676
Luxgen n7,5P Pure ,SUV,domestic,109.9,4.971,0.139,-1.7560304790643306,7.044813204638,0.25709665204347676
Luxgen n7,5P Hightlight,SUV,domestic,129.9,5.792,0.139,-1.0608371896747615,7.044813204638,0.25709665204347676
Luxgen n7,7P Hightlight,SUV,domestic,134.9,6.019,0.147,-0.9317387818776817,7.044813204638,0.25709665204347676
Mercedes-Benz EQA,250,SUV,import,217.0,9.359,0.139,1.9595701955293723,7.044813204638,0.25709665204347676
Mercedes-Benz EQB,250+,SUV,import,222.0,9.634,0.164,2.7811814265381236,7.044813204638,0.25709665204347676
Mercedes-Benz EQB,300 4Matic,SUV,import,267.0,11.481,0.166,4.869758323549352,7.044813204638,0.25709665204347676
Mercedes-EQ EQS,450+,Sedan,import,588.0,24.641,0.169,19.97372929300204,7.044813204638,0.25709665204347676
Mercedes-EQ EQS,4Matic,SUV,import,603.0,25.343,0.207,36.52576778879709,7.044813204638,0.25709665204347676
Nissan Leaf,,Hatchback,import,139.0,6.231,0.154,-0.7893691875608224,7.044813204638,0.25709665204347676
Opel Mokka Electric,Mokka Electric,SUV,import,139.9,6.206,0.13,-0.659980566876822,7.044813204638,0.25709665204347676
Porsche Taycan,Taycan,Sedan,import,432.0,18.232,0.156,11.065833110428754,7.044813204638,0.25709665204347676
Porsche Taycan,4S,Sedan,import,532.0,22.366,0.17,17.59101691729092,7.044813204638,0.25709665204347676
Porsche Taycan,Turbo,Sedan,import,768.0,32.055,0.171,29.04896555412219,7.044813204638,0.25709665204347676
Porsche Taycan,Turbo S,Sedan,import,925.0,38.5,0.171,36.53473863243589,7.044813204638,0.25709665204347676
Porsche Taycan Cross Turismo,4,Wagons,import,491.0,20.693,0.174,16.424472538582144,7.044813204638,0.25709665204347676
Porsche Taycan Cross Turismo,4S,Wagons,import,558.0,23.444,0.174,19.735075231167947,7.044813204638,0.25709665204347676
Porsche Taycan Cross Turismo,Turbo,Wagons,import,775.0,32.358,0.177,31.60330194777917,7.044813204638,0.25709665204347676
Subaru Solterra,Solterra,SUV,import,189.9,8.321,0.163,1.3562510117494355,7.044813204638,0.25709665204347676
Tesla Model S,,Sedan,import,294.99,12.658,0.172,6.596248689659569,7.044813204638,0.25709665204347676
Tesla Model S,Plaid,Sedan,import,344.99,14.736,0.183,10.379938341679917,7.044813204638,0.25709665204347676
Tesla Model X,,SUV,import,324.99,13.922,0.191,10.404743028192042,7.044813204638,0.25709665204347676
Tesla Model X,Plaid ,SUV,import,345.0,14.73,0.19,11.4539050180659,7.044813204638,0.25709665204347676
Tesla Model Y,,SUV,import,179.99,7.886,0.15,0.7854463975405254,7.044813204638,0.25709665204347676
Tesla Model Y,Long Gang,SUV,import,212.79,9.251,0.158,2.2262980129682655,7.044813204638,0.25709665204347676
Tesla Model Y,Performance,SUV,import,238.79,10.328,0.162,3.4524735885139,7.044813204638,0.25709665204347676
Toyota bZ4X,,SUV,import,167.0,7.297,0.132,0.2015935608527341,7.044813204638,0.25709665204347676
Volvo C40 Recharge,Plus Single Motor,SUV,import,201.0,8.799,0.169,1.9912071056869303,7.044813204638,0.25709665204347676
Volvo C40 Recharge,Ultimate Twin Motor,SUV,import,232.0,10.055,0.168,3.3785633088582383,7.044813204638,0.25709665204347676
Volvo XC40 Recharge,Plus Single Motor,SUV,import,191.0,8.371,0.164,1.4245268398509778,7.044813204638,0.25709665204347676
Volvo XC40 Recharge,Ultimate Twin Motor,SUV,import,222.0,9.667,0.176,3.2334094309543353,7.044813204638,0.25709665204347676
