scenario,year,cars,scooters,trucks_light,bus,trucks,p05,median,p95
Reference,2042,8.984750807808593,1.670136858430705,1.8440735975770364,2.2508616204184246,1.802277429117787,16.205484260636297,16.54857919613379,16.894792085481246
Reference,2043,9.754041951745563,1.7979864822834428,2.056664129251072,2.3096165806714377,1.9907965258452913,17.54426449255093,17.905679253489176,18.27047249522745
Reference,2044,10.485534491143179,1.9182838076807451,2.2738364078186746,2.348610790650152,2.185603231374683,18.830715584009194,19.209022188852828,19.589377295995348
Reference,2045,11.179244234072605,2.031028834622611,2.4955899684306084,2.367856512925959,2.386693590466223,20.06390658523149,20.45663294222864,20.854188569984597
Reference,2046,11.83529544552935,2.136221563109041,2.721957510668413,2.366947824820187,2.5936054174457337,21.245041591057554,21.65003763402604,22.062754941907226
Reference,2047,12.434823118092009,2.2300858439123172,2.952911034693951,2.366039136714416,2.806717302677371,22.367358544034584,22.7859096004,23.213856404549
Reference,2048,12.977849414482694,2.31262167703244,3.1884502436453075,2.3651304486086437,3.026021918824986,23.43145029698659,23.86555706673456,24.306790467817805
Reference,2049,13.464396497423511,2.3838290624694074,3.42857484066057,2.3642217605028724,3.2515119385524307,24.439945928466994,24.88951662965307,25.342584241619125
Reference,2050,13.894486529636564,2.4437080002232214,3.6732845288778253,2.363313072397101,3.483180034523556,25.39075628532725,25.85526360931686,26.323231619780586
Optimistic,2025,0.2550209445875,0.19363523383432538,0.015088479155085226,0.21269157780937498,0.0116281013625,0.6610473235285672,0.6879274090659533,0.7150340096907353
Optimistic,2026,0.3697205371289261,0.20801877891244014,0.03557161848438919,0.2625098963650101,0.03229486476613591,0.874756947840371,0.9078930222960581,0.9414060691116154
Optimistic,2027,0.515593291734924,0.2299070978909539,0.06384003518177087,0.3259212970649467,0.061072646836490704,1.1546866848682547,1.1960847848645888,1.237836580890365
Optimistic,2028,0.690159346654447,0.2591600450253328,0.0993566541828059,0.40025847838250517,0.09645912323144229,1.493870857500013,1.544989763343469,1.5966319923540961
Optimistic,2029,0.8909388401364483,0.2956374745710429,0.14158440042306997,0.482854138791006,0.1369519696088685,1.8855832280496307,1.9474381270752992,2.010257998059002
Optimistic,2030,1.115451910429882,0.33919924078355046,0.1899861988381387,0.5710409767637695,0.1810488616266472,2.3225015006032894,2.396034828990894,2.4708522000985447
Optimistic,2031,1.3890144485084206,0.39590689817042746,0.24514594611753582,0.670696304537386,0.23631623466716498,2.849340068154104,2.9362313767607167,3.024509696074712
Optimistic,2032,1.702222227608245,0.4639430032404585,0.30601338856635224,0.7658444731219038,0.297358005155424,3.4342007222608464,3.534241572758611,3.6363949951402788
Optimistic,2033,2.0525695835411524,0.5433075559936434,0.37216051339273504,0.8564854825173235,0.363642536607408,4.073639128518835,4.186928668712047,4.302319495976567
Optimistic,2034,2.43755085211894,0.6340005564299824,0.44315930780483115,0.9426193327236445,0.4346381925391004,4.763940921123911,4.890578083125009,5.019066732337682
Optimistic,2035,2.8546603691534083,0.7360220045494754,0.5185817590107874,1.0242460237408673,0.509813336466485,5.5023108362379585,5.641827242640728,5.783266626402623
Optimistic,2036,3.3483110500071693,0.8477535506831004,0.6133175983228911,1.1168531635425092,0.5976170948432536,6.3679972146165404,6.5218209170428665,6.6785359997517375
Optimistic,2037,3.894518752818097,0.9691951948308575,0.7226158522334495,1.2077585122885373,0.6915294690922656,7.314132154902913,7.483701294078662,7.6552995483725255
Optimistic,2038,4.491695145216209,1.1003469369927465,0.8459975134521599,1.2969620699789517,0.7913641819132019,8.33761918675549,8.524330775945621,8.712437493281763
Optimistic,2039,5.138251894831523,1.2412087771687677,0.9829835746887207,1.384463836613752,0.8969349560057435,9.437280202961322,9.641461429590088,9.847189615733868
Optimistic,2040,5.832600669294056,1.3917807153589208,1.1330950286528292,1.4702638121929386,1.0080555140695708,10.611346735824725,10.833228245605227,11.057599040933273
Optimistic,2041,6.448016005800751,1.5347349361225309,1.2811146164747689,1.5268682469850519,1.1216222788263333,11.672876456877713,11.909716050248903,12.150102078677367
Optimistic,2042,7.02213752099286,1.670136858430705,1.4294844906916973,1.5684950327205798,1.2375003676113108,12.675600535480081,12.92547035044259,13.179083494059435
Optimistic,2043,7.555759381055377,1.7979864822834428,1.5780957860103655,1.595509845609338,1.355578014044311,13.618144411609862,13.880900262407808,14.146498678089305
Optimistic,2044,8.04967575217329,1.9182838076807451,1.726839637137522,1.6082783618611434,1.4757434517451435,14.504304102137624,14.776491248181506,15.053200612886704
Optimistic,2045,8.504680800531592,2.031028834622611,1.8756071787799162,1.6071662576858117,1.5978849143336165,15.332708224979692,15.614052346760896,15.900243080395986
Optimistic,2046,8.921568692315276,2.136221563109041,2.0242895456442977,1.5925392092931594,1.721890635429538,16.10418979088069,16.394232089188176,16.68866735102807
Optimistic,2047,9.287104734593628,2.2300858439123172,2.1727778724374165,1.5779121609005073,1.8476488486527165,16.814892921546363,17.1132168856361,17.414764422909
Optimistic,2048,9.602480176644134,2.31262167703244,2.3209632938660216,1.563285112507856,1.9750477876229606,17.46597875232956,17.771735589096018,18.08173270118838
Optimistic,2049,9.868886267744287,2.3838290624694074,2.468736944636863,1.5486580641152037,2.103975685960078,18.05797140831593,18.37173175554626,18.69000106210667
Optimistic,2050,10.087514257171566,2.4437080002232214,2.6159899594566896,1.5340310157225516,2.234320777283879,18.59189260321888,18.912914213140034,19.23846457237921
