scenario,year,trucks_ICE,trucks_EV,cars_ICE,cars_EV,scooters_ICE,scooters_EV,trucks_light_ICE,trucks_light_EV,bus_ICE,bus_EV,p05,median,p95
Conservative,2048,3.682090022893057,0.664583234868756,2.6261405206964317,2.760177415561917,0.4568504292748801,0.4992401847119515,1.8770418749222866,0.6754166728945827,0.0,0.5194364372063999,13.357693999544978,13.762173052564517,14.169116700193667
Conservative,2049,3.5432982312833023,0.6983461111133477,1.9997216808972829,2.79975011827799,0.33929827203456014,0.5030616588530802,1.6724539658524866,0.7099966239425775,0.0,0.5077776442032,12.43990946648318,12.774741635785062,13.110534424189627
Conservative,2050,3.4006150810302835,0.731207091195,1.4455819379980357,2.8232152335399996,0.24044759435520008,0.503857319633654,1.4639517472979326,0.7432222863740002,0.0,0.4961188512,11.574808566723904,11.848665528475962,12.124064877976735
Reference,2025,5.925016992641274,0.0049948756159729,18.45147998620017,0.10954478792130325,5.2178335151784,0.08317642560215362,3.8219968137639686,0.006481288239961417,1.5918640840837674,0.09136211859564014,32.92313626448811,35.30403254360803,37.69475433753082
Reference,2026,5.7923444531524995,0.013762222783556042,18.1977539044955,0.15450538902855096,5.041796202795839,0.0852358436630949,3.8106058606431445,0.01484034466876964,1.5237949027516227,0.111626692407707,32.40234282289973,34.74483175402043,37.09972635563326
Reference,2027,5.65464141893358,0.025815062162616913,17.89828859725985,0.20923147052190508,4.856487301150579,0.08965211430694177,3.791072857427145,0.025817847017592408,1.4435756159774555,0.13714614674286715,31.827072668774985,34.13153878009436,36.443045631956124
Reference,2028,5.512216081776099,0.040435737708643976,17.554124357800834,0.27140521867675527,4.662400529303027,0.09592754766021243,3.763657396197367,0.03886637997903585,1.3517973397777423,0.16660207613961917,31.199378657282963,33.45589873182659,35.718029220789035
Reference,2029,5.365376633471634,0.056924711856419674,17.166301479426075,0.3387288961165238,4.460029606313595,0.10357555418044648,3.7286190690352083,0.05344303278681713,1.249051190168958,0.19870977915855426,30.519930542530272,32.71960405846756,34.92860401238063
Reference,2030,5.214431265811766,0.07460056552002045,16.735860255443185,0.40892484181266536,4.249868251242692,0.11212064465620483,3.6862174680220656,0.06900939921576428,1.1359282831675788,0.23221825838235596,29.77821407738069,31.91810837690159,34.07162328646108
Reference,2031,5.125305246931253,0.09517339154661383,16.40715792909451,0.4964388105746157,4.066901792346284,0.12552771372211755,3.668053532231977,0.08694188134115631,1.0351404805189446,0.2663943324313518,29.278989496942298,31.371388848421397,33.47950414061929
Reference,2032,5.030850417560812,0.11689112761638758,16.00638497344916,0.5922102364913451,3.8680351030610236,0.1408449052732028,3.6428412810508517,0.10580760339854804,0.9355293671435583,0.2966886894858026,28.693696288406652,30.735562493285713,32.788077395676524
Reference,2033,4.931146623004845,0.1393149369055033,15.532976470227,0.6939453793553657,3.653492601141642,0.15761405020075717,3.6106580741980885,0.12524679524783713,0.8370949430414202,0.3231239788841604,28.022457896768785,30.004360336100167,31.99655664506355
Reference,2034,4.826273708567755,0.16200947097778257,14.986367501147893,0.7993529623809705,3.423498704342871,0.17537697939607746,3.5715812713930837,0.1448997602161414,0.7398372082125299,0.34572284996487707,27.25996607628522,29.17622629114294,31.09494790240055
Reference,2035,4.716311519553941,0.18454286978470721,14.365993147931718,0.9061441722042323,3.178277830419442,0.1936755237504604,3.5256882323552317,0.16440687509779922,0.6437561626568872,0.36450795206640474,26.407197637144186,28.24445940220709,30.08293559041508
Reference,2036,4.621326866451937,0.2068873047688561,13.6012209993069,1.0166054221204632,2.920485589469012,0.21164748207266443,3.4668826013202594,0.18623293224433743,0.5521980940448528,0.38023809253262864,25.423670618062875,27.16466345387986,28.905411967120322
Reference,2037,4.5205500895316675,0.22830034577768646,12.743557370138708,1.1277884033289214,2.6503143395670636,0.22890013798380113,3.3925066047116372,0.20956494100356923,0.46071003153029394,0.39224640256787024,24.323553677122852,25.956716752259943,27.589160202538896
Reference,2038,4.413985293558665,0.248352716869703,11.79321332730632,1.2366480423912394,2.3679564387890824,0.24504077510498185,3.3026987142990376,0.23358433359881184,0.3692919751132108,0.4005339297840505,23.101199363435647,24.61479955693099,26.125287682999616
Reference,2039,4.301636583298459,0.26661530345366397,10.750399937688918,1.3401441003380261,2.0736042452105528,0.2596766770573181,3.1975974018521356,0.25747284223435113,0.27794392479360314,0.40510172179309006,21.74985641727912,23.13362828111122,24.51173226368468
Reference,2040,4.18350806351658,0.28265915228858074,9.615328268165673,1.4352411726688683,1.7674501169069572,0.27241512746192126,3.0773411391406045,0.2804124990954414,0.18666588057147107,0.4059508262069095,20.26493046979947,21.508231769365963,22.747619342530875
Reference,2041,4.086390286352863,0.30416177385422777,8.567078279766964,1.535339800985399,1.5495066362901124,0.2881440266717762,2.91840896146542,0.3071686360315589,0.12446340418599143,0.40785216370634286,18.975597783571214,20.089785196179953,21.20072752739636
Reference,2042,3.985788319925251,0.32398719651422664,7.564061594601786,1.6151476895683832,1.3444974551562856,0.30023288857526853,2.75599832545263,0.3315007031616338,0.07468973279460128,0.404627131405514,17.71179069824924,18.700869897740333,19.68964897678582
Reference,2043,3.8817029505573517,0.3419839702319654,6.60639477572356,1.6755735451420624,1.1522729616689897,0.30886258221372886,2.5901123103226307,0.35329887069011695,0.037350711538803844,0.3967516708600965,16.473159904816132,17.344773078497212,18.218252714714307
Reference,2044,3.7741349645727755,0.358000771268881,5.694194386185704,1.7175255696500131,0.9726835439917363,0.31421397662848805,2.42075399529582,0.3724533236649464,0.012452185560102354,0.38470133205940055,15.26341308727502,16.02200581465295,16.780429884445557
Reference,2045,3.663085148295129,0.3718864021844594,4.827576989041632,1.7419114602551489,0.8055795902880387,0.3164679408608767,2.247926459592598,0.38885426197754797,0.0,0.36895127342637263,14.080504845828761,14.733190146972042,15.385814205045685
Reference,2046,3.5473912161949337,0.38342204997721785,4.004695282133528,1.749654442918297,0.6508114887214081,0.3158053439522254,2.0722220805735683,0.40239680318033744,0.0,0.3499144399827201,12.924537095590274,13.477025932595527,14.030074534849648
Reference,2047,3.428294216410882,0.3925212431574143,3.2519570416125774,1.7390181134737133,0.5136281212219546,0.3118789580144743,1.8929526818160038,0.4129665318148186,0.0,0.3308921145768108,11.81377761806117,12.27473910723003,12.738161058044952
Reference,2048,3.3057983744233046,0.39903453107454767,2.5694331427241957,1.7113590695585794,0.3938050700349467,0.30496008660961915,1.7101183000418745,0.42045357963618835,0.0,0.3118842972086446,10.748820929774391,11.127363568955257,11.50946753395779
Reference,2049,3.1799079157125325,0.4028126970533803,1.9571944607137923,1.6680332011137702,0.2911179174056526,0.2953200332996561,1.5237189719731485,0.42474808787898843,0.0,0.2928909878782217,9.72930183735866,10.036797299517799,10.345709842871749
Reference,2050,3.0506270657588974,0.40370675839393777,1.4153118708267833,1.610395690383852,0.2053422455793409,0.2832301016465812,1.333754734331795,0.4257402072571052,0.0,0.27391218658554206,8.756869484248226,9.002748544127005,9.249686340312774
Optimistic,2025,5.925016992641274,0.0049948756159729,18.45147998620017,0.10954478792130325,5.2178335151784,0.08317642560215362,3.8219968137639686,0.006481288239961417,1.5918640840837674,0.09136211859564014,32.92313626448811,35.30403254360803,37.69475433753082
Optimistic,2026,5.678029088505019,0.013132438634219014,17.56054380517351,0.15034378687807262,5.041796202795839,0.08458910940222689,3.717278406070288,0.014464903329025006,1.4908771770263052,0.10674746991055971,31.58547512123668,33.857931980845805,36.13856363081793
Optimistic,2027,5.427794957103959,0.02343548453103346,16.635688481912428,0.19784927031423133,4.856487301150579,0.08822254340185141,3.603201717992979,0.024497417984332304,1.3802930781375815,0.12506619430052549,30.207937177743464,32.36229740165919,34.52802763771798
Optimistic,2028,5.175000699273593,0.034804462721792544,15.68297971319505,0.2490238812880016,4.662400529303027,0.09351034742893136,3.480576014223001,0.03584995229917554,1.2615880405193658,0.14442160392148748,28.784349625109478,30.82171583097395,32.86829470415272
Optimistic,2029,4.9203324158494235,0.046277498175021366,14.708483195799495,0.301057521598435,4.460029606313595,0.0998989845053197,3.350210559451312,0.047842844837521936,1.1362383172734274,0.16316144696947316,27.317936671707322,29.23596501613416,31.160750893825842
Optimistic,2030,4.664476207666952,0.057030391412393876,13.718264626503897,0.3513673517854128,4.249868251242692,0.10684776084681841,3.2129146183688673,0.05984565263401369,1.0057201615015359,0.17987790768058742,25.810909348691375,27.607345175273522,29.410363806755818
Optimistic,2031,4.529965603296388,0.07065855416548232,13.107168637592682,0.4153153201040178,4.066901792346284,0.1183761625529578,3.143628551540697,0.0732986378891432,0.9112909409425378,0.20053819505667844,24.92133355853433,26.63937185741143,28.364832606340602
Optimistic,2032,4.392223840318735,0.084152315458985,12.455480071797954,0.48172889041313344,3.8680351030610236,0.13129586991704978,3.0685474765874137,0.0866017889642777,0.8188439168830733,0.21673398589349885,23.972177921589907,25.60413305064433,27.247172009498037
