figure,scenario,year,label,cost_ntd_per_tco2
A,Conservative,2045,Light Trucks,20570.874003314275
A,Conservative,2046,Light Trucks,20384.018113595153
A,Conservative,2047,Light Trucks,20200.52628379036
A,Conservative,2048,Light Trucks,20020.308477112118
A,Conservative,2049,Light Trucks,19843.277841392865
A,Conservative,2050,Light Trucks,19669.350569518534
A,Conservative,2025,Cars,20089.060404305288
A,Conservative,2026,Cars,19572.185137048928
A,Conservative,2027,Cars,19080.625374738538
A,Conservative,2028,Cars,18612.565721260602
A,Conservative,2029,Cars,18166.36030632776
A,Conservative,2030,Cars,17740.513448525893
A,Conservative,2031,Cars,17469.770518249024
A,Conservative,2032,Cars,17206.79511457107
A,Conservative,2033,Cars,16951.257693036547
A,Conservative,2034,Cars,16702.84709087193
A,Conservative,2035,Cars,16461.26926297079
A,Conservative,2036,Cars,16224.807881318122
A,Conservative,2037,Cars,15994.676486619366
A,Conservative,2038,Cars,15770.624258812557
A,Conservative,2039,Cars,15552.41345645324
A,Conservative,2040,Cars,15339.818575229041
A,Conservative,2041,Cars,15250.271179891999
A,Conservative,2042,Cars,15161.763196806496
A,Conservative,2043,Cars,15074.276633090372
A,Conservative,2044,Cars,14987.793908769772
A,Conservative,2045,Cars,14902.29784500219
A,Conservative,2046,Cars,14817.771652700372
A,Conservative,2047,Cars,14734.19892154112
A,Conservative,2048,Cars,14651.56360934401
A,Conservative,2049,Cars,14569.850031805492
A,Conservative,2050,Cars,14489.04285257462
A,Conservative,2025,Scooters,12246.748405850842
A,Conservative,2026,Scooters,12074.354195439544
A,Conservative,2027,Scooters,11906.746106695684
A,Conservative,2028,Scooters,11743.727555276026
A,Conservative,2029,Scooters,11585.112577390688
A,Conservative,2030,Scooters,11430.725122136204
A,Conservative,2031,Scooters,11332.954058754813
A,Conservative,2032,Scooters,11236.841352314505
A,Conservative,2033,Scooters,11142.345164970468
A,Conservative,2034,Scooters,11049.425054482554
A,Conservative,2035,Scooters,10958.041916504211
A,Conservative,2036,Scooters,10868.157929711766
A,Conservative,2037,Scooters,10779.736503612145
A,Conservative,2038,Scooters,10692.742228877853
A,Conservative,2039,Scooters,10607.1408300675
A,Conservative,2040,Scooters,10522.899120599295
A,Conservative,2041,Scooters,10484.901724724028
A,Conservative,2042,Scooters,10447.177753001917
A,Conservative,2043,Scooters,10409.724264728244
A,Conservative,2044,Scooters,10372.53836121775
A,Conservative,2045,Scooters,10335.617185056804
A,Conservative,2046,Scooters,10298.957919371462
A,Conservative,2047,Scooters,10262.557787111065
A,Conservative,2048,Scooters,10226.414050346975
A,Conservative,2049,Scooters,10190.524009586064
A,Conservative,2050,Scooters,10154.885003098623
A,Reference,2025,Buses,30984.939155906544
A,Reference,2026,Buses,28540.6568191179
A,Reference,2027,Buses,26391.091057344995
A,Reference,2028,Buses,24484.669374073623
A,Reference,2029,Buses,22781.144798088022
A,Reference,2030,Buses,21248.646911795502
A,Reference,2031,Buses,20243.02649290612
A,Reference,2032,Buses,19306.74835989272
A,Reference,2033,Buses,18432.76150789343
A,Reference,2034,Buses,17614.938428094658
