vehicle_technology_case,vehicle_technology_trajectory,charging_assumption_case,year,passenger_car_residential_energy_share,public_l2_utilization,public_dcfc_utilization,depot_utilization_of_12h_window,passenger_car_electricity_twh,light_truck_electricity_twh,bus_electricity_twh,heavy_truck_electricity_twh,required_passenger_car_l2_ports,required_passenger_car_dcfc_ports,required_light_truck_50kw_depot_chargers,required_bus_150kw_depot_chargers,required_heavy_truck_150kw_depot_chargers,required_total_chargers,cumulative_passenger_car_l2_investment_billion_ntd,cumulative_passenger_car_dcfc_investment_billion_ntd,cumulative_light_truck_depot_investment_billion_ntd,cumulative_bus_depot_investment_billion_ntd,cumulative_heavy_truck_depot_investment_billion_ntd,cumulative_total_investment_billion_ntd
Conservative,Static,Conservative,2035,0.3,0.1,0.05,0.2,3.4868541660874994,0.6316131970909376,1.449005112603125,0.7336014490125,298532.0347677654,27862.9899116581,14420.392627646976,11027.436168973552,5582.963843321918,357425.8173193659,55.427867938095346,49.188111953392685,26.021748544610436,49.15896352264263,25.695356479289504,205.4920484380306
Conservative,Static,Conservative,2036,0.3,0.1,0.05,0.2,4.124787835219999,0.7541677453117499,1.5933080848824999,0.86691791754,353149.64342636976,32960.63338646118,17218.441673784244,12125.632305041856,6597.548839726028,422051.899631383,65.72784133638851,58.68601239931941,31.084877460206478,54.61549941686637,30.36715920537867,240.48138981815944
Conservative,Static,Conservative,2037,0.3,0.1,0.05,0.2,4.839024618772499,0.8971779527905626,1.7376110571618748,1.0113469558425001,414300.05297709745,38668.0049445291,20483.51490389412,13223.828441110158,7696.704382363015,494372.1056489938,77.2487952214195,69.28550857328072,36.99177896898583,60.0720353110901,35.42827213612982,279.026390210906
Conservative,Static,Conservative,2038,0.3,0.1,0.05,0.2,5.629564516745,1.060643819527375,1.8819140294412497,1.1668885639200002,481983.2634199485,44985.10458586187,24215.612317976596,14322.024577178461,8880.430471232878,574386.4353721982,89.99072959318836,80.98660047527663,43.74245307094848,65.52857120531382,40.878695271542966,321.12704961627026
Conservative,Static,Conservative,2039,0.3,0.1,0.05,0.2,6.4964075291375,1.2445653455221877,2.0262170017206245,1.3335427417725,556199.274754923,51911.93231045947,28414.733916031684,15420.220713246763,10148.727106335617,662094.8888009964,103.95364445169508,93.78928810530712,51.33689976609445,70.98510709953756,46.718428611618094,366.7833680342523
Conservative,Static,Conservative,2040,0.3,0.1,0.05,0.2,7.439553655949999,1.4489425307750001,2.170519974,1.5113094894,636948.0869820204,59448.488118321904,33080.87969805936,16518.41684931507,11501.594287671234,757497.465935388,121.83917649003924,107.40558348337217,60.279096036182096,77.87607798634642,53.33557830883784,420.7355123047778
Conservative,Static,Conservative,2041,0.3,0.1,0.05,0.2,8.297963693174998,1.6547388602797275,2.273878068,1.695778147665,710442.0970184073,66307.92905505135,37779.42603378373,17305.008127853882,12905.465355136987,844739.9255902332,137.63356207865266,121.51059598100666,69.650578950305,84.05680930149137,60.57682838569614,473.4283746971519
Conservative,Static,Conservative,2042,0.3,0.1,0.05,0.2,9.11822217319,1.8651842032521815,2.3565645431999998,1.8869143477950001,780669.7066087328,72862.5059501484,42584.11422950186,17934.28115068493,14360.078750342467,928410.6866894105,153.42794766726615,135.96567720308906,79.58457692655008,90.23754061663631,68.44097479001363,527.6567172035552
Conservative,Static,Conservative,2043,0.3,0.1,0.05,0.2,9.900329095995,2.0802785596923634,2.4185793996,2.08471808979,847630.9157529965,79112.218803613,47494.94428521378,18406.23591780822,15865.43447328767,1008509.7492329192,169.22233325587962,150.42075842517139,90.08108996491741,96.41827193178128,76.92801752179028,583.07047109954
Conservative,Static,Conservative,2044,0.3,0.1,0.05,0.2,10.644284461589999,2.300021929600273,2.4599226371999996,2.28918937365,911325.7244511984,85057.06761544518,52511.91620091947,18720.872429223742,17421.532523972604,1085037.1132207594,185.01671884449303,164.8758396472537,101.14011806540692,102.59900324692622,86.03795658102614,639.6696363851061
Conservative,Static,Conservative,2045,0.3,0.1,0.05,0.2,11.350088269974998,2.52441431297591,2.4805942559999994,2.500328199375,971754.1327033389,90697.05238564496,57635.02997661894,18878.190684931502,19028.37290239726,1157992.7786529316,200.81110443310652,179.3309208693361,112.76166122801865,108.77973456207118,95.77079196772115,697.4542130602537
Conservative,Static,Conservative,2046,0.3,0.1,0.05,0.2,12.01774052115,2.7534557098192725,2.4805942559999994,2.7181345669650003,1028916.1405094177,96032.17311421232,62864.28561231216,18878.190684931502,20685.955608561646,1227376.7455294353,216.91073514340445,194.0614010234271,124.94571945275254,114.23627045629492,106.12652368187538,756.2806497577544
Conservative,Static,Conservative,2047,0.3,0.1,0.05,0.2,12.628165436509999,2.987146120130364,2.4805942559999994,2.9426084764200002,1081178.547646404,100909.99778033105,68199.68310799918,18878.190684931502,22394.280642465754,1291560.6998621314,233.01036585370238,208.79188117751812,137.69229273960866,119.69280635051865,117.10515172348876,816.2924978448367
Conservative,Static,Conservative,2048,0.3,0.1,0.05,0.2,13.181363016054998,3.225485543909182,2.4805942559999994,3.1737499277400003,1128541.3541142978,105330.52638400113,73641.22246367995,18878.190684931502,24153.34800410959,1350544.6416510202,249.10999656400028,223.52236133160915,151.00138108858695,125.14934224474239,128.70667609256134,877.4897573215001
Conservative,Static,Conservative,2049,0.3,0.1,0.05,0.2,13.677333259785,3.4684739811557277,2.4805942559999994,3.411558920925,1171004.5599130993,109293.75892522259,79188.90367935452,18878.190684931502,25963.15769349315,1404328.5708961012,265.2096272742982,238.25284148570015,164.8729844996875,130.60587813896612,140.9310967890931,939.8724281877451
Conservative,Static,Conservative,2050,0.3,0.1,0.05,0.2,14.116076167699998,3.7161114318700004,2.4805942559999994,3.656035455975,1208568.1650428078,112799.6954039954,84842.72675502284,18878.190684931502,27823.709710616436,1452912.487597374,281.3092579845961,252.9833216397911,179.3071029729102,136.06241403318984,153.77841381308406,1003.4405104435713
Conservative,Static,Reference,2025,0.4,0.18,0.1,0.4,0.2550209445875,0.015088479155085226,0.21269157780937498,0.0116281013625,10397.135705622146,873.3593992722602,172.2429127292834,809.3286826840753,44.24696104452055,12296.313661352286,0.656031903380779,0.0,0.25593534284912034,0.7494650840509335,0.15898949495966266,1.8204218252404956
Conservative,Static,Reference,2026,0.4,0.18,0.1,0.4,0.37790859138499994,0.03629453377944319,0.27430807488875,0.03381887214,15407.232199323218,1294.2075047431504,414.32116186578986,1043.7902393027016,128.6867280821918,18288.237833317053,1.6843612780535095,0.0,0.6972449675339663,1.7946216954340435,0.47693571029746673,4.653163651318986
Conservative,Static,Reference,2027,0.4,0.18,0.1,0.4,0.5389477953924999,0.06648868110807388,0.35659619076812493,0.06712221269249999,21972.75747686317,1845.7116280565065,759.0032089962771,1356.910923775209,255.41176823630136,26189.795005927466,3.003400292425727,0.0,1.3239288740545372,3.1354698341493297,0.9538386460134121,8.416637646643006
Conservative,Static,Reference,2028,0.4,0.18,0.1,0.4,0.7381385566099999,0.10567092114097729,0.45955592544749996,0.11153812302,30093.711538242,2527.871769212328,1206.2890541207453,1748.6907361015978,424.42208150684934,36000.985179183524,4.61314894649743,1.3992381454359129,2.1359870624108335,4.772009500196791,1.5896983021074989,14.510081956648465
Conservative,Static,Reference,2029,0.4,0.18,0.1,0.4,0.9754808750374998,0.15384125387815342,0.5831872789268749,0.1670666031225,39770.094383459706,3340.687928210615,1756.1786972391942,2219.1296762818683,635.7176678938356,47721.80835308522,6.513607240268619,3.1557410798981183,3.133419532602855,6.704240693576431,2.384514678579727,21.89152322492575
Conservative,Static,Reference,2030,0.4,0.18,0.1,0.4,1.250974750675,0.2109996793196023,0.72749025120625,0.233707653,51001.90601251631,4284.16010505137,2408.6721383516247,2768.2277443160197,889.2985273972603,61352.264527632586,8.704775173739298,5.14830024179631,4.316226284630603,8.932163414288247,3.3382877754300964,30.439752889884556
Conservative,Static,Reference,2031,0.4,0.18,0.1,0.4,1.5836959621274995,0.27714619746532393,0.8717932234856249,0.3114612726525,64566.860817331195,5423.616308655821,3163.7693774580357,3317.325812350171,1185.1646600171234,77656.73697581235,11.3320075667592,7.494943744848472,5.684407318494076,11.160086135000062,4.451017592658608,40.12246235776042
Conservative,Static,Reference,2032,0.4,0.18,0.1,0.4,1.973644509395,0.3522808083153182,1.0160961957649999,0.40032746208000003,80464.95879790442,6759.056539023972,4021.4704145584274,3866.4238803843223,1523.3160657534247,96635.22569762457,14.395304419328335,10.195671589054609,7.237962634193273,13.388008855711877,5.72270413026526,50.93965162855335
Conservative,Static,Reference,2033,0.4,0.18,0.1,0.4,2.4208203924774994,0.43640351186958526,1.160399168044375,0.5003062212825,98696.19995423594,8290.48079615582,4981.7752496528,4415.521948418474,1903.7527446061645,118287.7306930692,17.894665731446697,13.250483774414718,8.976892231728197,15.615931576423693,7.1533473882500545,62.89132070226336
Conservative,Static,Reference,2034,0.4,0.18,0.1,0.4,2.9252236113749994,0.529514308128125,1.3047021403237498,0.61139755026,119260.5842863258,10017.889080051367,6044.683882741154,4964.620016452624,2326.4746965753425,142614.25196214629,21.83009150311429,16.659380300928802,10.901196111098844,17.843854297135508,8.74294736661299,75.97746957889044
Conservative,Static,Reference,2035,0.4,0.18,0.1,0.4,3.4868541660874994,0.6316131970909376,1.449005112603125,0.7336014490125,142158.11179417398,11941.281390710614,7210.196313823488,5513.718084486776,2791.481921660959,169614.7895048558,26.201581734331118,20.42236116859686,13.010874272305218,20.071777017847324,10.491504065354068,90.19809825843458
Conservative,Static,Reference,2036,0.4,0.18,0.1,0.4,4.124787835219999,0.7541677453117499,1.5933080848824999,0.86691791754,168166.49686969988,14125.985737054792,8609.220836892122,6062.816152520928,3298.774419863014,200263.2940160307,31.154491244946907,24.657454491136892,15.542438730103239,22.29969973855914,12.399017484473285,106.05310168921947
Conservative,Static,Reference,2037,0.4,0.18,0.1,0.4,4.839024618772499,0.8971779527905626,1.7376110571618748,1.0113469558425001,197285.73951290353,16572.0021190839,10241.75745194706,6611.914220555079,3848.3521911815074,234559.76549567105,36.68882003496167,29.364660268548878,18.495889484492913,24.527622459270958,14.465487623970645,123.54247987124508
Conservative,Static,Reference,2038,0.4,0.18,0.1,0.4,5.629564516745,1.060643819527375,1.8819140294412497,1.1668885639200002,229515.83972378503,19279.330536797945,12107.806158988298,7161.012288589231,4440.215235616439,272504.2039437769,42.80456810437542,34.54397850083285,21.87122653547424,26.755545179982775,16.690914483846147,142.66623280451142
Conservative,Static,Reference,2039,0.4,0.18,0.1,0.4,6.4964075291375,1.2445653455221877,2.0262170017206245,1.3335427417725,264856.79750234424,22247.970990196914,14207.366958015842,7710.110356623381,5074.363553167808,314096.60936034814,49.50173545318814,40.195409187988766,25.668449883047224,28.983467900694592,19.075298064099787,163.4243604890185
